Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
800,0.00,218,29,0
759,0.00,5,11,0
781,0.00,7,12,0
357,0.00,1065,14,0
800,1.00,2.2,0.45,0.09
800,0.00,32,14,0
802,0.00,133,37,0
802,0.00,1065,13,0
488,1.00,22.43,5.43,0.43
802,0.00,15,4,0
802,1.00,0.21,0.17,0.05
793,1.00,0.21,0.15,0.03
797,1.00,0.63,0.42,0.11
800,1.59,0.35,0.26,0.06
759,1.00,0.25,0.18,0.04
781,1.00,0.23,0.15,0.02
357,1.00,4,2,1
800,1.00,0.26,0.16,0.04
802,0.00,4,2,0
802,0.00,19,3,0
739,1.00,1.35,0.24,0.02
739,0.00,0,0,0
793,1.00,14.08,1.89,0.32
771,1.00,2.52,0.41,0.06
708,0.91,1.66,0.15,0.01
731,1.00,1.18,0.22,0.02
802,1.00,20.09,1.3,0.12
802,0.94,1.95,0.46,0.07
799,0.76,1.42,0.22,0.03
799,1.00,3.56,0.36,0.06
794,0.93,4.54,0.49,0.07
802,0.61,2.52,0.36,0.06
802,1.00,4.29,0.64,0.06
801,1.00,5.01,1.17,0.35
784,1.00,4.97,1.02,0.29
800,1.00,3.33,0.9,0.31
800,0.99,2.05,0.37,0.12
802,0.99,1.66,0.31,0.12
802,1.00,2.41,0.66,0.27
802,1.01,6.8,1.45,0.44
800,1.00,19.59,1.02,0.06
784,1.00,9.72,0.62,0.11
706,1.00,1.61,0.35,0.03
790,1.00,1.83,0.33,0.06
789,0.81,6.32,0.86,0.13
766,0.97,6.79,0.55,0.04
802,1.00,1.42,0.71,0.02
802,0.79,5.39,0.55,0.05
799,1.00,6.36,0.67,0.07
797,1.00,3.18,1.31,0.09
793,1.00,4.13,0.4,0.03
790,0.75,6.54,0.74,0.12
793,0.97,3.45,0.65,0.08
801,0.95,3.88,0.53,0.09
778,0.48,4,0.45,0.07
789,0.85,3.25,0.53,0.12
802,1.00,0.23,0.11,0.03
801,1.00,4.08,0.5,0.08
797,1.00,13.95,0.8,0.11
786,0.65,6.6,1.31,0.38
802,0.96,2.46,0.25,0.06
773,1.00,2.41,0.21,0.03
800,1.02,4.73,0.94,0.26
801,1.00,6.62,0.9,0.25
786,1.00,11.38,2.29,0.69
802,0.89,4.18,0.5,0.14
800,0.55,2.65,0.21,0.04
800,1.46,2.71,0.22,0.03
797,0.70,4.29,0.56,0.16
796,1.00,6.37,0.86,0.17
787,1.00,7.73,0.7,0.17
796,1.00,0.16,0.11,0.04
764,1.00,0.56,0.26,0.08
775,0.88,0.14,0.09,0.03
778,0.88,0.14,0.12,0.04
802,0.93,0.35,0.19,0.05
791,1.00,2.92,0.64,0.11
802,1.00,1.64,0.7,0.16
800,1.00,2.51,0.84,0.21
801,1.00,7.63,0.99,0.15
792,1.00,1.95,1.14,0.14
801,1.00,1.64,0.84,0.16
802,1.00,5.96,0.96,0.18
796,1.00,1.27,0.58,0.09
801,1.00,2.11,0.83,0.13
800,1.00,8.38,1.16,0.27
732,1.00,3.51,0.27,0.02
749,1.00,10.76,0.86,0.1
788,0.77,4.05,0.63,0.09
802,1.00,2.56,0.43,0.04
785,1.00,5.02,0.4,0.03
398,0.10,1.13,0.14,0.01
785,0.64,2.06,0.31,0.03
785,1.00,0.57,0.17,0.02
802,0.90,2.51,0.39,0.08
785,0.70,1.93,0.14,0.01
785,1.00,1.07,0.25,0.04
797,1.00,8.54,1.8,0.31
802,1.00,6.9,1.36,0.24
802,1.00,7.29,1.4,0.22
717,1.00,5.29,1.11,0.07
798,1.00,5.47,0.47,0.08
800,0.73,1,0.15,0.03
797,0.91,3.97,0.32,0.06
759,1.04,3.01,0.63,0.11
802,0.00,692,47,0
802,0.00,1589,91,0
802,1.00,3.27,0.79,0.15
802,1.00,2.38,0.38,0.07
721,1.00,9.43,0.74,0.08
802,1.00,1.79,0.33,0.06
802,1.00,3.97,2.1,0.54
800,1.00,3.4,1.85,0.43
801,0.92,6.4,1.78,0.3
793,0.50,3.07,0.33,0.04
802,1.00,1.13,0.38,0.08
802,0.80,1.59,0.53,0.12
530,1.00,1.03,0.48,0.03
801,0.36,0.86,0.35,0.06
802,0.97,1.16,0.24,0.04
802,0.86,0.75,0.24,0.04
802,1.00,14.58,0.77,0.15
801,1.00,27.26,3.84,0.45
802,1.00,1.78,0.15,0.02
801,1.00,4.48,0.8,0.13
482,1.00,15.33,0.43,0.02
801,0.94,7.06,1.06,0.26
802,1.00,48.19,2.93,0.6
802,1.00,12.59,0.5,0.09
713,1.00,2.93,0.68,0.07
356,1.00,20.67,2.67,0.22
485,1.00,127,23,1
725,1.00,2.53,0.64,0.18
800,1.00,0.8,0.19,0.04
795,1.00,1.5,0.71,0.23
787,1.00,18.3,1.19,0.18
785,1.00,5.22,0.47,0.06
693,1.00,0.77,0.17,0.01
774,1.00,37,19,1
802,1.00,54.69,5.27,1.02
798,1.00,8.46,2.46,0.67
802,1.00,14.46,2.75,0.72
798,1.00,18.16,5.05,1.42
802,0.00,2423,103,0
722,1.00,7.5,0.82,0.05
802,1.00,15.84,6.55,1.59
802,1.00,9.34,1.63,0.25
801,1.00,13.87,1.18,0.16
802,1.00,7.5,3.72,0.87
802,1.00,8.69,1.64,0.45
802,1.00,2.41,0.94,0.23
784,1.00,4.52,0.61,0.11
802,1.00,1.7,0.78,0.17
802,1.00,1.67,1.08,0.21
788,1.00,3.29,0.4,0.06
800,1.00,4.55,0.55,0.09
717,1.00,1.16,0.27,0.05
781,0.73,5.56,0.82,0.12
